KODE_PEMDA,NAMA_PEMDA,NAMA_PROVINSI,NAMA_PULAU,JUMLAH_BELANJA_PEGAWAI,JUMLAH_PENDUDUK,LUAS_DARATAN,LUAS_LAUTAN,LUAS_WILAYAH,IKK,IPM,PDRB_PER_KAPITA,PAD,DBH_PAJAK,DBH_SDA,ALOKASI_DAU,ALOKASI_DAU_APBNP,APBD_PENDAPATAN,APBD_BELANJA,APBD_PEMBIAYAAN,TKDD_TOTAL,TKDD_DBH,TKDD_DAU,TKDD_DAKFISIK,TKDD_DAKNONFISIK,TKDD_DID,TKDD_OTSUS,TKDD_DAIS,TKDD_DANADESA
2_32,Kab. Nias Barat,Provinsi Sumatera Utara,Sumatera,114758572796,95670,"473,73","705,25","1178,98","109,9","60,42","17063748,25",40193008207,9105043509,3694879965,366962737000,332435947000,706989726000,706989726000,23709780811,453823367000,117397253000,329531869000,55749958000,56549832000,,,,117397253000
2_33,Kota Gunungsitoli,Provinsi Sumatera Utara,Sumatera,169910833378,135506,"280,78","130,85","411,63","107,45","68,33","34516450,5",29456354563,11478306000,3694879965,447200274000,405124095000,734323192000,734323192000,31152008768,542154490000,89308308000,399419428000,64062947000,56190653000,8511835000,,,89308308000
3_1,Kab. Limapuluh Kota,Provinsi Sumatera Barat,Sumatera,411915662020,382118,"3571,14",0,"3571,14","94,18","69,17","32984899,66",73440842296,10223879620,1576591052,769243573000,696866984000,1250302474819,1250302474819,37705000000,981917636000,81722352000,686668871000,79394458000,173216944000,30442552000,,,81722352000
3_2,Kab. Agam,Provinsi Sumatera Barat,Sumatera,444654623216,529683,"1804,3","320,8","2125,1","90,31","71,7","31570736,11",99684205378,14000068393,1348925476,834935989000,756378532000,1467880451816,1467880451816,102000000000,1091643251000,79977047000,745501923000,124002132000,199119518000,8146329000,,,79977047000
3_3,Kab. Kepulauan Mentawai,Provinsi Sumatera Barat,Sumatera,143695000832,88189,"6011,35","7399,16","13410,51","119,35","60,28","48463390,65",45358184274,10870117367,2291566376,627993019000,556457541000,918000787449,918000787449,41089969831,694502552000,60855878000,548987977000,83135663000,47093356000,,,,60855878000
3_4,Kab. Padang Pariaman,Provinsi Sumatera Barat,Sumatera,425376186308,430045,"1332,51","395,37","1727,88","89,26","69,71","37865576,91",84502722191,8812618584,1455781978,790451964000,716079920000,1391725837012,1391725837012,166602909712,1041513629000,99705928000,706486730000,139124822000,186174936000,,,,99705928000
3_5,Kab. Pasaman,Provinsi Sumatera Barat,Sumatera,291865717388,319039,"3947,63",0,"3947,63","89,73","65,6","25139697,06",100067231370,9241287041,1700641251,615315015000,557421256000,1065653100252,1065653100252,94679899125,768035057000,51662548000,551664960000,75782869000,120778873000,9118148000,,,51662548000
3_6,Kab. Pesisir Selatan,Provinsi Sumatera Barat,Sumatera,451663639336,509763,"5749,89","2556,25","8306,14","90,78","69,4","23948931,89",123906524443,15452877217,1506178342,865484951000,784053203000,1623805488445,1623805488445,77197390076,1171342589000,169802227000,777267217000,151280528000,191367525000,34744705000,,,169802227000
3_7,Kab. Sijunjung,Provinsi Sumatera Barat,Sumatera,251198313994,237825,"3130,4",0,"3130,4","91,57","66,97","29940480,95",79055940215,10218731808,1999724007,561943690000,509071532000,971867471176,971867471176,116533000000,733691667000,62342074000,502198374000,92361786000,93238201000,33087409000,,,62342074000
3_8,Kab. Solok,Provinsi Sumatera Barat,Sumatera,367510895854,385808,3738,0,3738,"98,35","68,6","29815291,08",68301516506,10218439468,1678290678,730173027000,661472507000,1225183008337,1225183008337,56436554000,971846112000,81257319000,654499415000,99330030000,166794029000,40029310000,,,81257319000
3_9,Kab. Tanah Datar,Provinsi Sumatera Barat,Sumatera,379938967852,372165,"1336,1",0,"1336,1","94,62","71,25","28609706,99",115914187915,9815933386,1425229527,714102850000,646914341000,1240719192850,1240719192850,61250000000,983108617000,71180798000,637174929000,119255271000,164637254000,50671183000,,,71180798000
3_10,Kota Bukit Tinggi,Provinsi Sumatera Barat,Sumatera,172628089472,122470,"25,24",0,"25,24","94,26","80,11","63087211,32",101936792227,10905190472,1457702965,459952239000,420626323000,751259153894,751259153894,82689274861,546167037000,12532530000,421334282000,21199145000,45569524000,45531556000,,,
3_11,Kota Padang Panjang,Provinsi Sumatera Barat,Sumatera,130436130538,57656,23,0,23,"95,83","77,3","51204260,41",79752372830,7682058808,1455781978,382968596000,346644167000,544463225681,544463225681,58500000000,439120887000,9254679000,346447747000,33468895000,27933886000,22015680000,,,
3_12,Kota Padang,Provinsi Sumatera Barat,Sumatera,614406333616,907104,"693,66","1055,29","1748,95","89,98","82,25","54311538,47",487937882412,62854411577,1446387865,1130556777000,1023323887000,2569846948364,2569846948364,51650000000,1465779555000,57261143000,1044871353000,117281033000,220984031000,25381995000,,,
3_13,Kota Payakumbuh,Provinsi Sumatera Barat,Sumatera,196667119254,138719,"85,22",0,"85,22","91,96","78,23","43699737,71",103244423500,9968959414,1455784321,447002220000,404604226000,714070200028,714070200028,57159319112,540782925000,10230954000,413827474000,44041553000,54988614000,17694330000,,,
3_14,Kota Sawahlunto,Provinsi Sumatera Barat,Sumatera,134125790894,66731,"231,93",0,"231,93","91,85","71,72","43596064,65",47227132335,8632934607,9950258859,383909501000,343838276000,606400706382,606400706382,82501868254,477783167000,30109763000,341393550000,42449896000,39037371000,37290036000,,,30109763000
3_15,Kota Solok,Provinsi Sumatera Barat,Sumatera,137331092548,74140,"71,29",0,"71,29","91,6","77,89","49722284,96",40742809270,9719458572,1455782349,406093320000,371372341000,548823246705,548823246705,157692239411,470626043000,10751199000,369336357000,45850729000,35481042000,9206716000,,,
3_16,Kota Pariaman,Provinsi Sumatera Barat,Sumatera,158676978794,93222,"66,13","204,56","270,69","93,76","76,26","47003898,58",32213303037,9901058761,1460532178,423572160000,383396498000,645911417397,645911417397,30000000000,487803229000,49758531000,382767313000,39482418000,46766095000,7148713000,,,49758531000
3_17,Kab. Pasaman Barat,Provinsi Sumatera Barat,Sumatera,301290678570,432451,"3887,77","822,44","4710,21","91,38","67,43","29051640,13",158872998659,24031899148,1472366800,660961292000,598772766000,1113920371247,1113920371247,105267515926,858025336000,49994645000,596433942000,107391573000,126118893000,8347189000,,,49994645000
3_18,Kab. Dharmasraya,Provinsi Sumatera Barat,Sumatera,226250707430,214592,"2961,13",0,"2961,13","93,95","70,86","41147180,76",110208800135,17420678094,1729956123,528037794000,478355774000,916848794390,916848794390,115529344163,723145627000,56540066000,472416143000,126653830000,89996850000,17000339000,,,56540066000
3_19,Kab. Solok Selatan,Provinsi Sumatera Barat,Sumatera,206426657658,181274,"3346,2",0,"3346,2","91,66","68,45","25376933,12",60545296360,16374748463,2005680301,492567940000,441989749000,824715315691,824715315691,75233776097,621012484000,47688372000,437174072000,74960489000,75062324000,8567934000,,,47688372000
4_1,Kab. Bengkalis,Provinsi Riau,Sumatera,440144596454,551071,"6975,41","2252,8","9228,21","98,75","72,94","53184892,35",319280511092,1436254223765,818101260166,366236024000,331777609000,3557491170098,3557491170098,642249839006,2447532154000,134693135000,336787052000,100775011000,150028486000,62269396000,,,134693135000
4_2,Kab. Indragiri Hilir,Provinsi Riau,Sumatera,460373196364,626899,"12614,78","1815,47","14430,25","93,95","66,51","72409044,98",157482353687,51845980126,172302436388,990521187000,877689668000,2011258427840,2011258427840,404719348528,1327320546000,175723073000,885153707000,113847854000,177889629000,19390867000,,,175723073000
4_3,Kab. Indragiri Hulu,Provinsi Riau,Sumatera,341575456718,429536,"7723,8",0,"7723,8","92,36","69,66","58737780,1",111900731074,86882825819,161991433553,701396197000,629374964000,1291604055908,1291604055908,258874750190,1000730169000,158903768000,629776504000,82869491000,122217665000,15179842000,,,158903768000
4_4,Kab. Kampar,Provinsi Riau,Sumatera,588419528376,750808,"10983,47",0,"10983,47","89,85","72,5","42633958,79",229958839238,222848856511,373824111279,860162157000,762179999000,2525387965574,2525387965574,21045452000,1546516707000,218095598000,766486966000,137475421000,237665972000,50290844000,,,218095598000
4_5,Kab. Kuantan Singingi,Provinsi Riau,Sumatera,349261779014,332075,"5259,36",0,"5259,36","86,18","69,96","62006168,93",93227855868,34567430336,161799587168,670961349000,602065247000,1413098383447,1413098383447,109938340961,916024292000,176009214000,599278856000,69095825000,133434350000,17011096000,,,176009214000
4_6,Kab. Pelalawan,Provinsi Riau,Sumatera,289812136336,370358,"12758,45","711,16","13469,61","91,74","71,44","60562936,45",136697900751,130445877647,199938435166,664895425000,596622188000,1646636253355,1646636253355,440671597847,1053495818000,109904652000,595038967000,114496362000,104531289000,39876644000,,,109904652000
4_7,Kab. Rokan Hilir,Provinsi Riau,Sumatera,355498381244,639802,"8881,59","1389,12","10270,71","101,65","68,73","45290960,71",108053525787,237776893564,500945219255,529902690000,480045206000,2148166099483,2148166099483,65983900517,1210191646000,148715912000,491328649000,167236350000,133527957000,,,,148715912000
4_8,Kab. Rokan Hulu,Provinsi Riau,Sumatera,352752831090,557330,"7588,13",0,"7588,13","90,61","69,36","39953485,33",85734030158,67647644590,163065226019,712158989000,645153374000,1674632049868,1674632049868,10555000000,1067787118000,147334899000,641923852000,142094704000,144293562000,9173013000,,,147334899000
4_9,Kab. Siak,Provinsi Riau,Sumatera,345144762762,427795,"8275,18","254,59","8529,77","95,9","73,73","58217447,44",290637100257,451431044871,422274864980,401545619000,360313843000,2457373467533,2457373467533,263675205564,1264673056000,118494478000,366526944000,146153874000,119459956000,19735831000,,,118494478000
4_10,Kota Dumai,Provinsi Riau,Sumatera,251964558974,300638,"1623,38","502,07","2125,45","101,47","74,06","49617769,22",279654914442,58145053156,158526075439,468136464000,424090440000,1174114696609,1174114696609,87383231774,753759803000,118409036000,429427931000,100177731000,74141860000,31603245000,,,
4_11,Kota Pekanbaru,Provinsi Riau,Sumatera,505798883662,954373,"632,27",0,"632,27","93,71","80,66","96031708,04",592707161812,109210648782,156957018140,863685186000,781764967000,2699548066279,2699548066279,20000000000,1265078176000,172186779000,800145136000,91862439000,178645610000,22238212000,,,
