NAMA_DAERAH,NAMA_PROVINSI,PULAU
Kab. Bantaeng,Provinsi Sulawesi Selatan,Sulawesi
Kab. Barru,Provinsi Sulawesi Selatan,Sulawesi
Kab. Bone,Provinsi Sulawesi Selatan,Sulawesi
Kab. Bulukumba,Provinsi Sulawesi Selatan,Sulawesi
Kab. Enrekang,Provinsi Sulawesi Selatan,Sulawesi
Kab. Gowa,Provinsi Sulawesi Selatan,Sulawesi
Kab. Jeneponto,Provinsi Sulawesi Selatan,Sulawesi
Kab. Luwu,Provinsi Sulawesi Selatan,Sulawesi
Kab. Luwu Utara,Provinsi Sulawesi Selatan,Sulawesi
Kab. Maros,Provinsi Sulawesi Selatan,Sulawesi
Kab. Pangkajene Kepulauan,Provinsi Sulawesi Selatan,Sulawesi
Kota Palopo,Provinsi Sulawesi Selatan,Sulawesi
Kab. Luwu Timur,Provinsi Sulawesi Selatan,Sulawesi
Kab. Pinrang,Provinsi Sulawesi Selatan,Sulawesi
Kab. Sinjai,Provinsi Sulawesi Selatan,Sulawesi
Kab. Kepulauan Selayar,Provinsi Sulawesi Selatan,Sulawesi
Kab. Sidenreng Rappang,Provinsi Sulawesi Selatan,Sulawesi
Kab. Soppeng,Provinsi Sulawesi Selatan,Sulawesi
Kab. Takalar,Provinsi Sulawesi Selatan,Sulawesi
Kab. Tana Toraja,Provinsi Sulawesi Selatan,Sulawesi
Kab. Wajo,Provinsi Sulawesi Selatan,Sulawesi
Kota Pare-pare,Provinsi Sulawesi Selatan,Sulawesi
Kota Makassar,Provinsi Sulawesi Selatan,Sulawesi
Kab. Toraja Utara,Provinsi Sulawesi Selatan,Sulawesi
Kab. Buton,Provinsi Sulawesi Tenggara,Sulawesi
Kab. Konawe,Provinsi Sulawesi Tenggara,Sulawesi
Kab. Kolaka,Provinsi Sulawesi Tenggara,Sulawesi
Kab. Muna,Provinsi Sulawesi Tenggara,Sulawesi
Kota Kendari,Provinsi Sulawesi Tenggara,Sulawesi
Kota Bau-bau,Provinsi Sulawesi Tenggara,Sulawesi
Kab. Konawe Selatan,Provinsi Sulawesi Tenggara,Sulawesi
Kab. Bombana,Provinsi Sulawesi Tenggara,Sulawesi
Kab. Wakatobi,Provinsi Sulawesi Tenggara,Sulawesi
Kab. Kolaka Utara,Provinsi Sulawesi Tenggara,Sulawesi
Kab. Konawe Utara,Provinsi Sulawesi Tenggara,Sulawesi
Kab. Buton Utara,Provinsi Sulawesi Tenggara,Sulawesi
Kab. Konawe Kepulauan,Provinsi Sulawesi Tenggara,Sulawesi
Kab. Kolaka Timur,Provinsi Sulawesi Tenggara,Sulawesi
Kab. Muna Barat,Provinsi Sulawesi Tenggara,Sulawesi
Kab. Buton Tengah,Provinsi Sulawesi Tenggara,Sulawesi
Kab. Buton Selatan,Provinsi Sulawesi Tenggara,Sulawesi
Kab. Badung,Provinsi Bali,Bali & Nusra
Kab. Bangli,Provinsi Bali,Bali & Nusra
Kab. Buleleng,Provinsi Bali,Bali & Nusra
Kab. Gianyar,Provinsi Bali,Bali & Nusra
Kab. Jembrana,Provinsi Bali,Bali & Nusra
Kab. Karangasem,Provinsi Bali,Bali & Nusra
Kab. Klungkung,Provinsi Bali,Bali & Nusra
Kab. Tabanan,Provinsi Bali,Bali & Nusra
Kota Denpasar,Provinsi Bali,Bali & Nusra
Kab. Bima,Provinsi Nusa Tenggara Barat,Bali & Nusra
Kab. Dompu,Provinsi Nusa Tenggara Barat,Bali & Nusra
Kab. Lombok Barat,Provinsi Nusa Tenggara Barat,Bali & Nusra
Kab. Lombok Tengah,Provinsi Nusa Tenggara Barat,Bali & Nusra
Kab. Lombok Timur,Provinsi Nusa Tenggara Barat,Bali & Nusra
Kab. Sumbawa,Provinsi Nusa Tenggara Barat,Bali & Nusra
Kota Mataram,Provinsi Nusa Tenggara Barat,Bali & Nusra
Kota Bima,Provinsi Nusa Tenggara Barat,Bali & Nusra
Kab. Sumbawa Barat,Provinsi Nusa Tenggara Barat,Bali & Nusra
Kab. Lombok Utara,Provinsi Nusa Tenggara Barat,Bali & Nusra
Kab. Alor,Provinsi Nusa Tenggara Timur,Bali & Nusra
Kab. Belu,Provinsi Nusa Tenggara Timur,Bali & Nusra
Kab. Ende,Provinsi Nusa Tenggara Timur,Bali & Nusra
Kab. Flores Timur,Provinsi Nusa Tenggara Timur,Bali & Nusra
Kab. Kupang,Provinsi Nusa Tenggara Timur,Bali & Nusra
Kab. Lembata,Provinsi Nusa Tenggara Timur,Bali & Nusra
Kab. Manggarai,Provinsi Nusa Tenggara Timur,Bali & Nusra
Kab. Ngada,Provinsi Nusa Tenggara Timur,Bali & Nusra
Kab. Sikka,Provinsi Nusa Tenggara Timur,Bali & Nusra
Kab. Sumba Barat,Provinsi Nusa Tenggara Timur,Bali & Nusra
Kab. Sumba Timur,Provinsi Nusa Tenggara Timur,Bali & Nusra
Kab. Timor Tengah Selatan,Provinsi Nusa Tenggara Timur,Bali & Nusra
Kab. Timor Tengah Utara,Provinsi Nusa Tenggara Timur,Bali & Nusra
Kota Kupang,Provinsi Nusa Tenggara Timur,Bali & Nusra
Kab. Rote Ndao,Provinsi Nusa Tenggara Timur,Bali & Nusra
Kab. Manggarai Barat,Provinsi Nusa Tenggara Timur,Bali & Nusra
Kab. Nagekeo,Provinsi Nusa Tenggara Timur,Bali & Nusra
Kab. Sumba Barat Daya,Provinsi Nusa Tenggara Timur,Bali & Nusra
Kab. Sumba Tengah,Provinsi Nusa Tenggara Timur,Bali & Nusra
Kab. Manggarai Timur,Provinsi Nusa Tenggara Timur,Bali & Nusra
Kab. Sabu Raijua,Provinsi Nusa Tenggara Timur,Bali & Nusra
Kab. Malaka,Provinsi Nusa Tenggara Timur,Bali & Nusra
Kab. Kepulauan Tanimbar,Provinsi Maluku,Papua & Maluku
Kab. Maluku Tengah,Provinsi Maluku,Papua & Maluku
Kab. Maluku Tenggara,Provinsi Maluku,Papua & Maluku
Kab. Buru,Provinsi Maluku,Papua & Maluku
Kota Ambon,Provinsi Maluku,Papua & Maluku
Kab. Seram Bagian Barat,Provinsi Maluku,Papua & Maluku
Kab. Seram Bagian Timur,Provinsi Maluku,Papua & Maluku
Kab. Kepulauan Aru,Provinsi Maluku,Papua & Maluku
Kota Tual,Provinsi Maluku,Papua & Maluku
Kab. Maluku Barat Daya,Provinsi Maluku,Papua & Maluku
Kab. Buru Selatan,Provinsi Maluku,Papua & Maluku
Kab. Biak Numfor,Provinsi Papua,Papua & Maluku
Kab. Jayapura,Provinsi Papua,Papua & Maluku
Kab. Kepulauan Yapen,Provinsi Papua,Papua & Maluku
Kota Jayapura,Provinsi Papua,Papua & Maluku
Kab. Sarmi,Provinsi Papua,Papua & Maluku
Kab. Keerom,Provinsi Papua,Papua & Maluku
Kab. Waropen,Provinsi Papua,Papua & Maluku
Kab. Supiori,Provinsi Papua,Papua & Maluku
Kab. Mamberamo Raya,Provinsi Papua,Papua & Maluku
Kab. Halmahera Tengah,Provinsi Maluku Utara,Papua & Maluku
Kota Ternate,Provinsi Maluku Utara,Papua & Maluku
Kab. Halmahera Barat,Provinsi Maluku Utara,Papua & Maluku
Kab. Halmahera Timur,Provinsi Maluku Utara,Papua & Maluku
Kab. Halmahera Selatan,Provinsi Maluku Utara,Papua & Maluku
Kab. Halmahera Utara,Provinsi Maluku Utara,Papua & Maluku
Kab. Kepulauan Sula,Provinsi Maluku Utara,Papua & Maluku
Kota Tidore Kepulauan,Provinsi Maluku Utara,Papua & Maluku
Kab. Pulau Morotai,Provinsi Maluku Utara,Papua & Maluku
Kab. Pulau Taliabu,Provinsi Maluku Utara,Papua & Maluku
Kab. Lebak,Provinsi Banten,Jawa
Kab. Pandeglang,Provinsi Banten,Jawa
Kab. Serang,Provinsi Banten,Jawa
Kab. Tangerang,Provinsi Banten,Jawa
Kota Cilegon,Provinsi Banten,Jawa
Kota Tangerang,Provinsi Banten,Jawa
Kota Serang,Provinsi Banten,Jawa
Kota Tangerang Selatan,Provinsi Banten,Jawa
Kab. Bangka,Provinsi Bangka Belitung,Sumatera
